"country","iso2c","abbr","year","perCapGDP","GDP"
"Canada","CA","CAN",1960,2259.25051088642,40461721692.6468
"Canada","CA","CAN",1961,2240.43303945853,40934952063.9468
"Canada","CA","CAN",1962,2268.58534607907,42227447631.9159
"Canada","CA","CAN",1963,2374.49844764883,45029988561.2124
"Canada","CA","CAN",1964,2555.11114601309,49377522896.703
"Canada","CA","CAN",1965,2770.36180408145,54515179580.7148
"Canada","CA","CAN",1966,3047.10614707958,61088384036.6515
"Canada","CA","CAN",1967,3217.15929360795,65668655501.1254
"Canada","CA","CAN",1968,3462.67887195794,71829810519.8955
"Canada","CA","CAN",1969,3763.95337938417,79148411661.6902
"Canada","CA","CAN",1970,4121.93281373693,87896095320.1263
"Canada","CA","CAN",1971,4520.1628781257,99271961774.6088
"Canada","CA","CAN",1972,5089.58790204875,113082820486.918
"Canada","CA","CAN",1973,5838.66089434012,131321858814.119
"Canada","CA","CAN",1974,7033.01102090736,160408697341.513
"Canada","CA","CAN",1975,7511.21134279151,173834029689.343
"Canada","CA","CAN",1976,8809.26466044933,206575564908.722
"Canada","CA","CAN",1977,8919.05746104275,211612157028.679
"Canada","CA","CAN",1978,9123.69133364505,218632867537.477
"Canada","CA","CAN",1979,10043.6609586669,243072102612.259
"Canada","CA","CAN",1980,11170.5639723393,273853826548.067
"Canada","CA","CAN",1981,12337.4662493804,306214863624.99
"Canada","CA","CAN",1982,12481.8747874298,313506525087.136
"Canada","CA","CAN",1983,13425.1224888294,340547711781.889
"Canada","CA","CAN",1984,13877.9170763469,355372558103.621
"Canada","CA","CAN",1985,14114.8077599664,364756499450.751
"Canada","CA","CAN",1986,14461.0692388787,377437927311.983
"Canada","CA","CAN",1987,16308.9669663579,431316742081.448
"Canada","CA","CAN",1988,18936.9641024997,507354351182.254
"Canada","CA","CAN",1989,20715.631483174,565055743243.243
"Canada","CA","CAN",1990,21448.3619600057,593929550908.468
"Canada","CA","CAN",1991,21768.3432941828,610328183643.188
"Canada","CA","CAN",1992,20879.8483300891,592387689252.916
"Canada","CA","CAN",1993,20121.1612532855,577170761956.438
"Canada","CA","CAN",1994,19935.3814579208,578139279437.61
"Canada","CA","CAN",1995,20613.7878829216,604031623433.401
"Canada","CA","CAN",1996,21227.3475315896,628546387972.131
"Canada","CA","CAN",1997,21901.5628548392,654986999855.554
"Canada","CA","CAN",1998,21024.5850687045,6.34e+11
"Canada","CA","CAN",1999,22315.2466731545,678412196271.118
"Canada","CA","CAN",2000,24271.0020563821,744773415931.587
"Canada","CA","CAN",2001,23822.0601178964,738981792355.372
"Canada","CA","CAN",2002,24255.3385818322,760649334098.005
"Canada","CA","CAN",2003,28300.4630963791,895540646634.787
"Canada","CA","CAN",2004,32143.6814078562,1026690238278.25
"Canada","CA","CAN",2005,36382.5079164537,1173108598778.68
"Canada","CA","CAN",2006,40504.0607253203,1319264809590.97
"Canada","CA","CAN",2007,44659.8951408034,1468820407783.26
"Canada","CA","CAN",2008,46710.5055759013,1552989690721.65
"Canada","CA","CAN",2009,40876.3101540295,1374625142157.29
"Canada","CA","CAN",2010,47562.0834253057,1617343367486.26
"Canada","CA","CAN",2011,52223.696112356,1793326630174.52
"Canada","CA","CAN",2012,52669.0899632316,1828366481521.6
"Canada","CA","CAN",2013,52635.1749580433,1846597421834.98
"Canada","CA","CAN",2014,50955.9983232404,1805749878439.94
"Canada","CA","CAN",2015,43596.1355365546,1556508816217.14
"Canada","CA","CAN",2016,42315.6037056806,1527994741907.43
"Canada","CA","CAN",2017,45129.4292980922,1649265644244.09
"Canada","CA","CAN",2018,46548.6384108296,1725329192783.02
"Canada","CA","CAN",2019,46328.6718408497,1742015045482.31
"Canada","CA","CAN",2020,43258.2638715601,1645423407568.36
"United Kingdom","GB","GBR",1960,1397.5948032844,73233967692.1028
"United Kingdom","GB","GBR",1961,1472.38571407868,77741965703.3544
"United Kingdom","GB","GBR",1962,1525.77585271032,81247564156.8246
"United Kingdom","GB","GBR",1963,1613.45688373392,86561961812.3249
"United Kingdom","GB","GBR",1964,1748.2881176141,94407558351.1616
"United Kingdom","GB","GBR",1965,1873.56777435421,101824755078.991
"United Kingdom","GB","GBR",1966,1986.74715869685,108572752102.045
"United Kingdom","GB","GBR",1967,2058.78188198056,113116888210.787
"United Kingdom","GB","GBR",1968,1951.75859587532,107759910067.889
"United Kingdom","GB","GBR",1969,2100.66786858672,116464702803.218
"United Kingdom","GB","GBR",1970,2347.54431773747,130671946244.3
"United Kingdom","GB","GBR",1971,2649.80151387223,148113896325.14
"United Kingdom","GB","GBR",1972,3030.43251411977,169965034965.035
"United Kingdom","GB","GBR",1973,3426.27622050378,192537971582.558
"United Kingdom","GB","GBR",1974,3665.8627976419,206131369798.971
"United Kingdom","GB","GBR",1975,4299.74561799284,241756637168.142
"United Kingdom","GB","GBR",1976,4138.16778761535,232614555256.065
"United Kingdom","GB","GBR",1977,4681.43993173038,263066457352.172
"United Kingdom","GB","GBR",1978,5976.93816899991,335883029721.956
"United Kingdom","GB","GBR",1979,7804.76208051155,438994070309.191
"United Kingdom","GB","GBR",1980,10032.062080015,564947710899.373
"United Kingdom","GB","GBR",1981,9599.30622221965,540765675241.158
"United Kingdom","GB","GBR",1982,9146.07735701852,515048916841.37
"United Kingdom","GB","GBR",1983,8691.51881306514,489618008185.539
"United Kingdom","GB","GBR",1984,8179.19444064991,461487097632.349
